(0.0, 0.0, 0.0) 0.12426190917617244 0.0025111622782726713 2.1078972772298394
(0.0, 0.0, 0.05) 0.021174393616809107 0.0026088056646162384 1.2914702951219836
(0.0, 0.0, 0.1) 0.04326073971908323 0.001613324575288239 1.1860884969642036
(0.0, 0.0, 0.15000000000000002) 0.03190264819704572 0.0017837135305134608 0.8477659759274504
(0.0, 0.0, 0.2) 0.03555230197774589 0.0013255905154029714 1.0787330857476485
(0.0, 0.0, 0.25) 0.025015613549449117 0.001841716969822287 0.654424740937191
(0.0, 0.0, 0.30000000000000004) 0.014932742633882822 0.0011891470932487815 0.7383601819579694
(0.0, 0.0, 0.35000000000000003) 0.00586107502480846 0.0014198141540229048 0.6903870153471234
(0.0, 0.0, 0.4) 0.015430465388388277 0.0011273637988909965 0.8947313113036247
(0.0, 0.0, 0.45) 0.003317547308176858 0.0009468845432510466 1.4158075599201274
(0.0, 0.0, 0.5) 0.01407920539092609 0.0013950383977921674 1.3105827189797177
(0.0, 0.05, 0.0) 0.041616125485140036 0.0019420060519014545 1.0267937865869423
(0.0, 0.05, 0.05) 0.030104581739696507 0.0021475379634982245 0.9597289544510195
(0.0, 0.05, 0.1) 0.05114865411574666 0.0021995907013073255 1.0963791839970085
(0.0, 0.05, 0.15000000000000002) 0.04565716634146619 0.0024150252683106032 1.152000973921482
(0.0, 0.05, 0.2) 0.012487400432419716 0.0013240472073546333 0.9962692338336269
(0.0, 0.05, 0.25) 0.037894926215014085 0.0018109556142977175 0.8789929284959469
(0.0, 0.05, 0.30000000000000004) 0.009843360039489272 0.001034395364632475 0.9306502815480651
(0.0, 0.05, 0.35000000000000003) 0.010647525522079199 0.001065686508787821 0.9196740979845079
(0.0, 0.05, 0.4) 0.01452995143170281 0.0012265383873403413 0.8967692086185161
(0.0, 0.05, 0.45) 0.009728570670600675 0.0012169122726029486 1.1214289764503984
(0.0, 0.05, 0.5) 0.01452405730577883 0.0008733482377825113 1.2336602744521055
(0.0, 0.1, 0.0) 0.008635848781408472 0.0011158001932660944 0.43313877248761956
