(0.0, 0.0, 0.0) 0.013344761570893888 0.001080131280091685 0.6562787966352639
(0.0, 0.0, 0.025) 0.011673281228407315 0.0010125479861958166 0.7906600039831828
(0.0, 0.0, 0.05) 0.0052592262510447315 0.0008689645444056244 0.8182126235463911
(0.0, 0.0, 0.07500000000000001) 0.013418705641958769 0.0005237900109570137 0.6196861627835692
(0.0, 0.0, 0.1) 0.012334237456046818 0.00060676079082667 0.6237400014656648
(0.0, 0.0, 0.125) 0.01694289615381903 0.00035840456763651065 0.7577221692014924
(0.0, 0.0, 0.15000000000000002) 0.006980305207539117 0.0005052337632911196 0.8057163849198887
(0.0, 0.0, 0.17500000000000002) 0.013442261892844296 0.00021471228747930123 1.1139817008820296
(0.0, 0.0, 0.2) 0.010524772085358099 0.00014788170946806415 1.3032295316917502
(0.0, 0.0, 0.225) 0.017385829882794794 0.00026190031449197236 1.4070574362877535
(0.0, 0.0, 0.25) 0.0133414177816165 0.00024620629680618456 1.8252387038893039
(0.0, 0.02, 0.0) 0.010228808071868236 0.0009598292759607001 0.6630906702286353
(0.0, 0.02, 0.025) 0.008301627255049418 0.000945911787211133 0.44778305379955197
(0.0, 0.02, 0.05) 0.013372753698327251 0.0005011997425996655 0.4230897877792852
(0.0, 0.02, 0.07500000000000001) 0.011404309962196196 0.0008102866615816495 0.6235779430531941
(0.0, 0.02, 0.1) 0.010911101853467367 0.00017122629202743236 0.7196998655120174
(0.0, 0.02, 0.125) 0.009704550232006143 0.00036493003022512586 0.7411603209406027
(0.0, 0.02, 0.15000000000000002) 0.007627982903458195 0.00024949398153286794 0.7632186290316663
(0.0, 0.02, 0.17500000000000002) 0.01018856935674494 0.00012770070066715666 1.1669739590277954
(0.0, 0.02, 0.2) 0.012170302711499973 0.00016682949308973206 1.382951314965378
(0.0, 0.02, 0.225) 0.015305404643391595 0.00032148910894205026 1.683476590191931
(0.0, 0.02, 0.25) 0.015318219727715706 0.0005415054842444388 1.7389175269070136
(0.0, 0.04, 0.0) 0.02079136566881493 0.0010793327191863991 0.6238114712476892
(0.0, 0.04, 0.025) 0.013546492783107641 0.0007119692727788113 0.37910959518202664
(0.0, 0.04, 0.05) 0.022639123506490277 0.0005235326496163076 0.46009927928444216
